	#	FORM	LEMMA	GRAM	COMMENT	CHECKED	RIGHT1	RIGHT2	RIGHT3	RIGHT4	RIGHT5	RIGHT6	POS	AUTO_LEMMA	AUTO_GRAM	
33707	1	 омментатор	 ќћћ≈Ќ“ј“ќ–	S m anim nom sg			р	о	т	а	т	н	S	 ќћћ≈Ќ“ј“ќ–	S m anim nom sg	
33708	2	@	@	PUNC									PUNC	@	PUNC	
33709	3	Ќу	Ќ”	INTJ			у	н					PART	Ќ”	PART	
33710	4	да	ƒј	PART			а	д					PART	ƒј	PART	
33711	5	.	.	SENT									SENT	.	SENT	
33712																
33713	1	≈лена	≈Ћ≈Ќј	S f anim persn nom sg			а	н	е	л	е		S	≈Ћ≈Ќј	S f anim nom sg	
33714	2	@	@	PUNC									PUNC	@	PUNC	
33715	3	Ќе	Ќ≈	PART			е	н					PART	Ќ≈	PART	
33716	4	<	<	PUNC									PUNC	<	PUNC	
33717	5	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
33718	6	form	FORM	NONLEX									NONLEX	FORM	NONLEX	
33719	7	=	=	PUNC									PUNC	=	PUNC	
33720	8			_											_	
33721	9	ст	—“	NONLEX	distort		т	с					S	—“	S f inan nonflex nonflex	
33722	10			_											_	
33723	11	>	>	PUNC									PUNC	>	PUNC	
33724	12	стоит	—“ќ»“№	V ipf praes sg indic act 3p			т	и	о	т	с		V	—“ќя“№	V ipf praes sg indic - 3p	
33725	13	<	<	PUNC									PUNC	<	PUNC	
33726	14	/	/	PUNC									PUNC	/	PUNC	
33727	15	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
33728	16	>	>	PUNC									PUNC	>	PUNC	
33729	17	эээ	Ё	INTJ			э	э	э				NONLEX	ЁЁЁ	NONLEX	
33730	18	,	,	PUNC									PUNC	,	PUNC	
33731	19	чему	„“ќ	SPRO n - dat sg			у	м	е	ч			S	„“ќ	S n - dat sg	
33732	20	стоит	—“ќ»“№	V ipf praes sg indic act 3p			т	и	о	т	с		V	—“ќ»“№	V ipf praes sg indic - 3p	
33733	21	удивл€тьс€	”ƒ»¬Ћя“№—я	V ipf - - inf - -			€	с	ь	т	€	л	V	”ƒ»¬Ћя“№—я	V ipf - - inf - -	
33734	22	,	,	PUNC									PUNC	,	PUNC	
33735	23	когда	 ќ√ƒј	CONJ			а	д	г	о	к		CONJ	 ќ√ƒј	CONJ	11
33736	24	мой	ћќ…	APRO - nom sg plen m -			й	о	м				A	ћќ…	A - nom sg plen m -	
33737	25	ребенок	–≈Ѕ≈Ќќ 	S m anim nom sg			к	о	н	е	б	е	S	–≈Ѕ≈Ќќ 	S m inan nom sg	
33738	26	пришел	ѕ–»…“»	V pf praet sg indic m act			л	е	ш	и	р	п	V	ѕ–»…“»	V pf praet sg indic m -	
33739	27	в	¬	PR			в						PR	¬	PR	
33740	28	школу	Ў ќЋј	S f inan acc sg			у	л	о	к	ш		S	Ў ќЋј	S f inan acc sg	
33741	29	<	<	PUNC									PUNC	<	PUNC	27
33742	30	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
33743	31	form	FORM	NONLEX									NONLEX	FORM	NONLEX	
33744	32	=	=	PUNC									PUNC	=	PUNC	
33745	33			_											_	
33746	34	ии	»	CONJ			и	и					S	»я	S f anim loc sg	
33747	35			_											_	
33748	36	>	>	PUNC									PUNC	>	PUNC	
33749	37	и	»	CONJ			и						CONJ	»	CONJ	
33750	38	<	<	PUNC									PUNC	<	PUNC	
33751	39	/	/	PUNC									PUNC	/	PUNC	
33752	40	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
33753	41	>	>	PUNC									PUNC	>	PUNC	
33754	42	спуст€	—ѕ”—“я	PR			€	т	с	у	п	с	PR	—ѕ”—“я	PR	
33755	43	,	,	PUNC									PUNC	,	PUNC	
33756	44	там	“јћ	PART			м	а	т				ADV	“јћ	ADV -	
33757	45	,	,	PUNC									PUNC	,	PUNC	
33758	46	полгода	ѕќЋ√ќƒј	S m inan acc pl			а	д	о	г	л	о	S	ѕќЋ√ќƒј	S m inan acc pl	
33759	47	учитель	”„»“≈Ћ№	S m anim nom sg			ь	л	е	т	и	ч	S	”„»“≈Ћ№	S m anim nom sg	
33760	48	<	<	PUNC									PUNC	<	PUNC	27
33761	49	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
33762	50	form	FORM	NONLEX									NONLEX	FORM	NONLEX	
33763	51	=	=	PUNC									PUNC	=	PUNC	
33764	52			_											_	
33765	53	—каал	— ј«ј“№	V pf praet sg indic m act	distort		л	а	а	к	с		S	— јјЋ	S f inan nom sg	
33766	54			_											_	
33767	55	>	>	PUNC									PUNC	>	PUNC	
33768	56	—казал	— ј«ј“№	V pf praet sg indic m act			л	а	з	а	к	с	V	— ј«ј“№	V pf praet sg indic m -	
33769	57	<	<	PUNC									PUNC	<	PUNC	
33770	58	/	/	PUNC									PUNC	/	PUNC	
33771	59	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
33772	60	>	>	PUNC									PUNC	>	PUNC	
33773	61	:	:	PUNC									PUNC	:	PUNC	
33774	62	Ђ	Ђ	PUNC									PUNC	Ђ	PUNC	7
33775	63	¬ы	¬џ	SPRO pl 2p - nom			ы	в					SPRO	¬џ	SPRO pl 2p - nom	
33776	64	знаете	«Ќј“№	V ipf praes pl indic - 2p			е	т	е	а	н	з	V	«Ќј“№	V ipf praes pl indic - 2p	
33777	65	,	,	PUNC									PUNC	,	PUNC	
33778	66	-	-	PUNC									PUNC	-	PUNC	
33779	67	<	<	PUNC									PUNC	<	PUNC	
33780	68	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
33781	69	form	FORM	NONLEX									NONLEX	FORM	NONLEX	
33782	70	=	=	PUNC									PUNC	=	PUNC	
33783	71			_											_	
33784	72	√т	√ќ¬ќ–»“№	V ipf praes sg indic act 3p	distort		т	г					NONLEX	√“	NONLEX	
33785	73			_											_	
33786	74	>	>	PUNC									PUNC	>	PUNC	
33787	75	говорит	√ќ¬ќ–»“№	V ipf praes sg indic - 3p			т	и	р	о	в	о	V	√ќ¬ќ–»“№	V ipf praes sg indic - 3p	
33788	76	<	<	PUNC									PUNC	<	PUNC	
33789	77	/	/	PUNC									PUNC	/	PUNC	
33790	78	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
33791	79	>	>	PUNC									PUNC	>	PUNC	
33792	80	,	,	PUNC									PUNC	,	PUNC	
33793	81	-	-	PUNC									PUNC	-	PUNC	
33794	82	<	<	PUNC									PUNC	<	PUNC	
33795	83	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
33796	84	form	FORM	NONLEX									NONLEX	FORM	NONLEX	26
33797	85	=	=	PUNC									PUNC	=	PUNC	
33798	86			_											_	
33799	87	аа	ј	INTJ			а	а					NONLEX	јј	NONLEX	
33800	88			_											_	
33801	89	>	>	PUNC									PUNC	>	PUNC	
33802	90	а	ј	CONJ			а						CONJ	ј	CONJ	
33803	91	<	<	PUNC									PUNC	<	PUNC	
33804	92	/	/	PUNC									PUNC	/	PUNC	
33805	93	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
33806	94	>	>	PUNC									PUNC	>	PUNC	
33807	95	половина	ѕќЋќ¬»Ќј	S f inan nom sg			а	н	и	в	о	л	S	ѕќЋќ¬»Ќј	S f inan nom sg	
33808	96	детей	–≈Ѕ≈Ќќ 	S m anim gen pl			й	е	т	е	д		S	–≈Ѕ≈Ќќ 	S m anim gen pl	
33809	97	не	Ќ≈	PART			е	н					PART	Ќ≈	PART	
33810	98	понимает	ѕќЌ»ћј“№	V ipf praes sg indic - 3p			т	е	а	м	и	н	V	ѕќЌ»ћј“№	V ipf praes sg indic - 3p	
33811	99	,	,	PUNC									PUNC	,	PUNC	
33812	100	о	ќ	PR			о						PR	ќ	PR	
33813	101	<	<	PUNC									PUNC	<	PUNC	
33814	102	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
33815	103	form	FORM	NONLEX									NONLEX	FORM	NONLEX	
33816	104	=	=	PUNC									PUNC	=	PUNC	
33817	105			_											_	
33818	106	ч	„	NONLEX	distort		ч						S	„	S f inan nonflex nonflex	
33819	107			_											_	
33820	108	>	>	PUNC									PUNC	>	PUNC	
33821	109	чем	„“ќ	SPRO loc sg m			м	е	ч				CONJ	„≈ћ	CONJ	
33822	110	<	<	PUNC									PUNC	<	PUNC	34
33823	111	/	/	PUNC									PUNC	/	PUNC	
33824	112	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
33825	113	>...	>...	PUNC									PUNC	>...	PUNC	
33826	114	они	ќЌ»	SPRO pl - - nom			и	н	о				SPRO	ќЌ»	SPRO pl - - nom	
33827	115	не	Ќ≈	PART			е	н					PART	Ќ≈	PART	
33828	116	могут	ћќ„№	V ipf praes pl indic - 3p			т	у	г	о	м		V	ћќ„№	V ipf praes pl indic - 3p	
33829	117	с	—	PR			с						PR	—	PR	
33830	118	ним	ќЌ	SPRO sg 3p m ins			м	и	н				SPRO	ќЌ	SPRO sg 3p m ins	
33831	119	общатьс€	ќЅўј“№—я	V ipf - - inf - -			€	с	ь	т	а	щ	V	ќЅўј“№—я	V ipf - - inf - -	
33832	120	,	,	PUNC									PUNC	,	PUNC	
33833	121	они	ќЌ»	SPRO pl - - nom			и	н	о				SPRO	ќЌ»	SPRO pl - - nom	31
33834	122	не	Ќ≈	PART			е	н					PART	Ќ≈	PART	
33835	123	понимают	ѕќЌ»ћј“№	V ipf praes pl indic - 3p			т	ю	а	м	и	н	V	ѕќЌ»ћј“№	V ipf praes pl indic - 3p	
33836	124	,	,	PUNC									PUNC	,	PUNC	7
33837	125	о	ќ	PR			о						PR	ќ	PR	
33838	126	чем	„“ќ	S n - ins sg			м	е	ч				S	„“ќ	S n - ins sg	
33839	127	он	ќЌ	SPRO sg 3p m nom			н	о					SPRO	ќЌ	SPRO sg 3p m nom	
33840	128	говорит	√ќ¬ќ–»“№	V ipf praes sg indic - 3p			т	и	р	о	в	о	V	√ќ¬ќ–»“№	V ipf praes sg indic - 3p	
33841	129	.	.	SENT									SENT	.	SENT	
33842																
33843	1	ќни	ќЌ»	SPRO pl - - nom			и	н	о				SPRO	ќЌ»	SPRO pl - - nom	
33844	2	половину	ѕќЋќ¬»Ќј	S f inan acc sg			у	н	и	в	о	л	S	ѕќЋќ¬»Ќј	S f inan acc sg	
33845	3	слов	—Ћќ¬ќ	S n inan adnum pl			в	о	л	с			S	—Ћќ¬ќ	S n inan gen pl	
33846	4	таких	“ј ќ…	APRO - gen pl plen - -			х	и	к	а	т		A	“ј ќ…	A - gen pl plen - -	
33847	5	не	Ќ≈	PART			е	н					PART	Ќ≈	PART	
33848	6	слышали	—ЋџЎј“№	V ipf praet pl indic act -			и	л	а	ш	ы	л	V	—ЋџЎј“№	V ipf praet pl indic - -	
33849	7	и	»	CONJ			и						CONJ	»	CONJ	
33850	8	не	Ќ≈	PART			е	н					PART	Ќ≈	PART	
33851	9	знают	«Ќј“№	V ipf praes pl indic - 3p			т	ю	а	н	з		V	«Ќј“№	V ipf praes pl indic - 3p	87
33852	10	ї	ї	PUNC									PUNC	ї	PUNC	
33853	11	.	.	SENT									SENT	.	SENT	8
33854																
33855	1	»менно	»ћ≈ЌЌќ	PART			о	н	н	е	м	и	PART	»ћ≈ЌЌќ	PART	
33856	2	в	¬	PR			в						PR	¬	PR	
33857	3	этом	Ё“ќ“	SPRO - loc sg plen m -			м	о	т	э			A	Ё“ќ“	A - loc sg plen m -	
33858	4	проблема	ѕ–ќЅЋ≈ћј	S f inan nom sg			а	м	е	л	б	о	S	ѕ–ќЅЋ≈ћј	S f inan nom sg	
33859	5	,	,	PUNC									PUNC	,	PUNC	
33860	6	<	<	PUNC									PUNC	<	PUNC	
33861	7	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
33862	8	form	FORM	NONLEX									NONLEX	FORM	NONLEX	26
33863	9	=	=	PUNC									PUNC	=	PUNC	
33864	10			_											_	
33865	11	чтоо	„“ќ	CONJ			о	о	т	ч			S	„“ќќ	S m anim nonflex nonflex	
33866	12			_											_	
33867	13	>	>	PUNC									PUNC	>	PUNC	
33868	14	что	„“ќ	CONJ			о	т	ч				CONJ	„“ќ	CONJ	
33869	15	<	<	PUNC									PUNC	<	PUNC	
33870	16	/	/	PUNC									PUNC	/	PUNC	
33871	17	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
33872	18	>	>	PUNC									PUNC	>	PUNC	
33873	19	разговаривать	–ј«√ќ¬ј–»¬ј“№	V ipf - - inf - -			ь	т	а	в	и	р	V	–ј«√ќ¬ј–»¬ј“№	V ipf - - inf - -	
33874	20	везде	¬≈«ƒ≈	ADV -			е	д	з	е	в		ADV	¬≈«ƒ≈	ADV -	
33875	21	надо	Ќјƒќ	PRAEDIC -			о	д	а	н			ADV	Ќјƒќ	ADV -	
33876	22	нормальным	Ќќ–ћјЋ№Ќџ…	A - ins sg plen m -			м	ы	н	ь	л	а	A	Ќќ–ћјЋ№Ќџ…	A - ins sg plen m -	
33877	23	€зыком	я«џ 	S m inan ins sg			м	о	к	ы	з	€	S	я«џ 	S m inan ins sg	
33878	24	.	.	SENT									SENT	.	SENT	
33879																
33880	1	ƒл€	ƒЋя	PR			€	л	д				PR	ƒЋя	PR	
33881	2	того	“ќ	SPRO n - gen sg			о	г	о	т			S	“ќ	S n - gen sg	
33882	3	,	,	PUNC									PUNC	,	PUNC	7
33883	4	чтобы	„“ќЅџ	CONJ			ы	б	о	т	ч		CONJ	„“ќЅџ	CONJ	
33884	5	им	ќЌ»	SPRO sg - - ins			м	и					SPRO	ќЌ»	SPRO pl - - dat	31
33885	6	разговаривать	–ј«√ќ¬ј–»¬ј“№	V ipf - - inf - -			ь	т	а	в	и	р	V	–ј«√ќ¬ј–»¬ј“№	V ipf - - inf - -	
33886	7	,	,	PUNC									PUNC	,	PUNC	
33887	8	его	ќЌ	SPRO sg 3p m acc			о	г	е				SPRO	ќЌ	SPRO sg 3p m acc	
33888	9	надо	Ќјƒќ	PRAEDIC -			о	д	а	н			ADV	Ќјƒќ	ADV -	
33889	10	знать	«Ќј“№	V ipf - - inf - -			ь	т	а	н	з		V	«Ќј“№	V ipf - - inf - -	
33890	11	,	,	PUNC									PUNC	,	PUNC	
33891	12	его	ќЌ	SPRO sg 3p m acc			о	г	е				SPRO	ќЌ	SPRO sg 3p m acc	
33892	13	надо	Ќјƒќ	PRAEDIC -			о	д	а	н			ADV	Ќјƒќ	ADV -	
33893	14	видеть	¬»ƒ≈“№	V ipf - - inf - -			ь	т	е	д	и	в	V	¬»ƒ≈“№	V ipf - - inf - -	
33894	15	посто€нно	ѕќ—“ќяЌЌќ	ADV -			о	н	н	€	о	т	ADV	ѕќ—“ќяЌЌќ	ADV -	
33895	16	перед	ѕ≈–≈ƒ	PR			д	е	р	е	п		PR	ѕ≈–≈ƒ	PR	
33896	17	глазами	√Ћј«	S m inan ins pl			и	м	а	з	а	л	S	√Ћј«	S m inan ins pl	
33897	18	,	,	PUNC									PUNC	,	PUNC	
33898	19	то есть	“ќ ≈—“№	PART			ь	т	с	е	 	о	-	то есть	-	
33899	20	если	≈—Ћ»	CONJ			и	л	с	е			CONJ	≈—Ћ»	CONJ	
33900	21	раньше	–јЌќ	ADV comp			е	ш	ь	н	а	р	ADV	–јЌќ	ADV comp	
33901	22	€	я	SPRO sg 1p - nom			€						SPRO	я	SPRO sg 1p - nom	
33902	23	открывала	ќ“ –џ¬ј“№	V ipf praet sg indic f act			а	л	а	в	ы	р	V	ќ“ –џ¬ј“№	V ipf praet sg indic f -	
33903	24	книгу	 Ќ»√ј	S f inan acc sg			у	г	и	н	к		S	 Ќ»√ј	S f inan acc sg	
33904	25	,	,	PUNC									PUNC	,	PUNC	
33905	26	и	»	CONJ			и						CONJ	»	CONJ	
33906	27	€	я	SPRO sg 1p - nom			€						SPRO	я	SPRO sg 1p - nom	
33907	28	была	Ѕџ“№	V ipf praet sg indic f -			а	л	ы	б			V	Ѕџ“№	V ipf praet sg indic f -	
33908	29	точно	“ќ„Ќќ	ADV -			о	н	ч	о	т		ADV	“ќ„Ќќ	ADV -	
33909	30	уверена	”¬≈–≈ЌЌџ…	V partcp praet sg brev f pf			а	н	е	р	е	в	A	”¬≈–≈ЌЌџ…	A - - sg brev f -	
33910	31	,	,	PUNC									PUNC	,	PUNC	
33911	32	что	„“ќ	CONJ			о	т	ч				CONJ	„“ќ	CONJ	
33912	33	там	“јћ	ADV -			м	а	т				ADV	“јћ	ADV -	
33913	34	написано	Ќјѕ»—ј“№	PARTCP pf praet - sg brev n pass -			о	н	а	с	и	п	PARTCP	Ќјѕ»—ј“№	PARTCP pf praet - sg brev n pass -	
33914	35	грамотным	√–јћќ“Ќџ…	A - ins sg plen m -			м	ы	н	т	о	м	A	√–јћќ“Ќџ…	A - ins sg plen m -	
33915	36	русским	–”—— »…	A - ins sg plen m -			м	и	к	с	с	у	A	–”—— »…	A - ins sg plen m -	
33916	37	€зыком	я«џ 	S m inan ins sg			м	о	к	ы	з	€	S	я«џ 	S m inan ins sg	
33917	38	,	,	PUNC									PUNC	,	PUNC	
33918	39	то	“ќ	CONJ			о	т					CONJ	“ќ	CONJ	
33919	40	сейчас	—≈…„ј—	ADV -			с	а	ч	й	е	с	ADV	—≈…„ј—	ADV -	
33920	41	€	я	SPRO sg 1p - nom			€						SPRO	я	SPRO sg 1p - nom	
33921	42	в	¬	PR			в						PR	¬	PR	6
33922	43	этом	Ё“ќ	SPRO n - loc sg			м	о	т	э			S	Ё“ќ	S n - loc sg	
33923	44	совершенно	—ќ¬≈–Ў≈ЌЌќ	ADV -			о	н	н	е	ш	р	ADV	—ќ¬≈–Ў≈ЌЌќ	ADV -	42
33924	45	<	<	PUNC									PUNC	<	PUNC	
33925	46	noindex	NOINDEX	NONLEX									NONLEX	NOINDEX	NONLEX	
33926	47	>	>	PUNC									PUNC	>	PUNC	
33927	48	[	[	PUNC									PUNC	[	PUNC	
33928	49	нрзб	Ќ–«Ѕ	NONLEX	помета		б	з	р	н			NONLEX	Ќ–«Ѕ	NONLEX	
33929	50	]	]	PUNC									PUNC	]	PUNC	
33930	51	<	<	PUNC									PUNC	<	PUNC	
33931	52	/	/	PUNC									PUNC	/	PUNC	
33932	53	noindex	NOINDEX	NONLEX									NONLEX	NOINDEX	NONLEX	
33933	54	>	>	PUNC									PUNC	>	PUNC	
33934	55	не	Ќ≈	PART			е	н					PART	Ќ≈	PART	
33935	56	уверена	”¬≈–≈ЌЌџ…	V partcp praet sg brev f pf			а	н	е	р	е	в	A	”¬≈–≈ЌЌџ…	A - - sg brev f -	
33936	57	.	.	SENT									SENT	.	SENT	8
33937																
33938	1	ќткрыва€	ќ“ –џ¬ј“№	V ipf praes - ger - -			€	а	в	ы	р	к	V	ќ“ –џ¬ј“№	V ipf praes - ger - -	
33939	2	книгу	 Ќ»√ј	S f inan acc sg			у	г	и	н	к		S	 Ќ»√ј	S f inan acc sg	
33940	3	,	,	PUNC									PUNC	,	PUNC	
33941	4	€	я	SPRO sg 1p - nom			€						SPRO	я	SPRO sg 1p - nom	
33942	5	вижу	¬»ƒ≈“№	V ipf praes sg indic - 1p			у	ж	и	в			V	¬»ƒ≈“№	V ipf praes sg indic - 1p	
33943	6	<	<	PUNC									PUNC	<	PUNC	
33944	7	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	10
33945	8	form	FORM	NONLEX									NONLEX	FORM	NONLEX	
33946	9	=	=	PUNC									PUNC	=	PUNC	
33947	10			_											_	
33948	11	коли	 ќЋ»„≈—“¬ќ	S acc sg n inan	distort		и	л	о	к			CONJ	 ќЋ»	CONJ	
33949	12			_											_	
33950	13	>	>	PUNC									PUNC	>	PUNC	
33951	14	количество	 ќЋ»„≈—“¬ќ	S acc sg n inan			о	в	т	с	е	ч	S	 ќЋ»„≈—“¬ќ	S n inan nom sg	
33952	15	<	<	PUNC									PUNC	<	PUNC	
33953	16	/	/	PUNC									PUNC	/	PUNC	
33954	17	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
33955	18	>	>	PUNC									PUNC	>	PUNC	
33956	19	...	...	SENT									SENT	...	SENT	
33957																
33958	1	<	<	PUNC									PUNC	<	PUNC	
33959	2	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	10
33960	3	form	FORM	NONLEX									NONLEX	FORM	NONLEX	
33961	4	=	=	PUNC									PUNC	=	PUNC	
33962	5			_											_	
33963	6	груб	√–”Ѕџ…	A - gen pl plen -	distort		б	у	р	г			A	√–”Ѕџ…	A - - sg brev m -	
33964	7			_											_	
33965	8	>	>	PUNC									PUNC	>	PUNC	
33966	9	грубых	√–”Ѕџ…	A - gen pl plen - -			х	ы	б	у	р	г	A	√–”Ѕџ…	A - gen pl plen - -	
33967	10	<	<	PUNC									PUNC	<	PUNC	
33968	11	/	/	PUNC									PUNC	/	PUNC	
33969	12	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
33970	13	>...	>...	PUNC									PUNC	>...	PUNC	
33971	14	эээ...	Ё	INTJ						э	э	э	NONLEX	ЁЁЁ...	NONLEX	
33972	15	огромное	ќ√–ќћЌџ…	A - acc sg plen n -			е	о	н	м	о	р	A	ќ√–ќћЌџ…	A - acc sg plen n inan	
33973	16	количество	 ќЋ»„≈—“¬ќ	S acc sg n inan			о	в	т	с	е	ч	S	 ќЋ»„≈—“¬ќ	S n inan acc sg	
33974	17	ошибок	ќЎ»Ѕ ј	S f inan gen pl			к	о	б	и	ш	о	S	ќЎ»Ѕ ј	S f inan gen pl	
33975	18	.	.	SENT									SENT	.	SENT	
33976																
33977	1	—луша€	—Ћ”Ўј“№	V ipf praes - ger act  -			€	а	ш	у	л	с	V	—Ћ”Ўј“№	V ipf praes - ger - -	
33978	2	,	,	PUNC									PUNC	,	PUNC	
33979	3	эээ	Ё	INTJ			э	э	э				NONLEX	ЁЁЁ	NONLEX	
33980	4	,	,	PUNC									PUNC	,	PUNC	
33981	5	выступление	¬џ—“”ѕЋ≈Ќ»≈	S n inan acc sg			е	и	н	е	л	п	S	¬џ—“”ѕЋ≈Ќ»≈	S n inan nom sg	
33982	6	дикторов	ƒ» “ќ–	S m anim gen pl			в	о	р	о	т	к	S	ƒ» “ќ–	S m anim gen pl	
33983	7	по	ѕќ	PR			о	п					PR	ѕќ	PR	
33984	8	телевизору	“≈Ћ≈¬»«ќ–	S m inan dat sg			у	р	о	з	и	в	S	“≈Ћ≈¬»«ќ–	S m inan dat sg	
33985	9	Ц	Ц	PUNC									PUNC	Ц	PUNC	
33986	10	<	<	PUNC									PUNC	<	PUNC	
33987	11	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
33988	12	form	FORM	NONLEX									NONLEX	FORM	NONLEX	
33989	13	=	=	PUNC									PUNC	=	PUNC	
33990	14			_											_	
33991	15	ќт	ќ“	PR			т	о					PR	ќ“	PR	
33992	16			_											_	
33993	17	>	>	PUNC									PUNC	>	PUNC	
33994	18	¬от	¬ќ“	PART			т	о	в				PART	¬ќ“	PART	
33995	19	<	<	PUNC									PUNC	<	PUNC	
33996	20	/	/	PUNC									PUNC	/	PUNC	
33997	21	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
33998	22	>	>	PUNC									PUNC	>	PUNC	
33999	23	вспомните	¬—ѕќћЌ»“№	V impf act imper pl - 2p			е	т	и	н	м	о	V	¬—ѕќћЌ»“№	V pf fut pl indic - 2p	
34000	24	:	:	PUNC									PUNC	:	PUNC	
34001	25	раз...	–ј«...	NONLEX	distort					з	а	р	S	–ј«...	S m inan gen sg	
34002	26	<	<	PUNC									PUNC	<	PUNC	
34003	27	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
34004	28	form	FORM	NONLEX									NONLEX	FORM	NONLEX	
34005	29	=	=	PUNC									PUNC	=	PUNC	
34006	30			_											_	
34007	31	раз	–ј«	NONLEX	distort		з	а	р				S	–ј«	S m inan acc sg	9
34008	32			_											_	
34009	33	>	>	PUNC									PUNC	>	PUNC	
34010	34	разве	–ј«¬≈	PART			е	в	з	а	р		PART	–ј«¬≈	PART	9
34011	35	<	<	PUNC									PUNC	<	PUNC	
34012	36	/	/	PUNC									PUNC	/	PUNC	
34013	37	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
34014	38	>	>	PUNC									PUNC	>	PUNC	
34015	39	разве	–ј«¬≈	PART			е	в	з	а	р		PART	–ј«¬≈	PART	
34016	40	раньше	–јЌќ	ADV comp			е	ш	ь	н	а	р	ADV	–јЌќ	ADV comp	
34017	41	диктор	ƒ» “ќ–	S m anim nom sg			р	о	т	к	и	д	S	ƒ» “ќ–	S m anim nom sg	
34018	42	мог	ћќ„№	V ipf praet sg indic m 3p			г	о	м				V	ћќ„№	V ipf praet sg indic m -	
34019	43	ошибитьс€	ќЎ»Ѕ»“№—я	V pf - - inf - -			€	с	ь	т	и	б	V	ќЎ»Ѕ»“№—я	V pf - - inf - -	
34020	44	?	?	SENT									SENT	?	SENT	
34021																
34022	1	Ёто	Ё“ќ	SPRO n - nom sg			о	т	э				S	Ё“ќ	S n - nom sg	
34023	2	был	Ѕџ“№	V ipf praet sg indic m -			л	ы	б				V	Ѕџ“№	V ipf praet sg indic m -	
34024	3	скандал	— јЌƒјЋ	S m inan nom sg			л	а	д	н	а	к	S	— јЌƒјЋ	S m inan nom sg	
34025	4	,	,	PUNC									PUNC	,	PUNC	
34026	5	катастрофа	 ј“ј—“–ќ‘ј	S f inan nom sg			а	ф	о	р	т	с	S	 ј“ј—“–ќ‘ј	S f inan nom sg	
34027	6	!	!	SENT									SENT	!	SENT	
34028																
34029	1	Ц	Ц	PUNC									PUNC	Ц	PUNC	
34030	2	то	“ќ	CONJ			о	т					CONJ	“ќ	CONJ	
34031	3	сейчас	—≈…„ј—	ADV -			с	а	ч	й	е	с	ADV	—≈…„ј—	ADV -	
34032	4	,	,	PUNC									PUNC	,	PUNC	
34033	5	эээ	Ё	INTJ			э	э	э				NONLEX	ЁЁЁ	NONLEX	
34034	6	,	,	PUNC									PUNC	,	PUNC	
34035	7	со	—ќ	PR			о	с					PR	—ќ	PR	
34036	8	времен	¬–≈ћя	S n inan gen pl			н	е	м	е	р	в	S	¬–≈ћя	S n inan gen pl	
34037	9	√орбачева	√ќ–Ѕј„≈¬	S m anim famn gen sg			а	в	е	ч	а	б	S	√ќ–Ѕј„≈¬	S m anim gen sg	
34038	10	,	,	PUNC									PUNC	,	PUNC	
34039	11	повелось	ѕќ¬≈—“»—№	V pf praet sg indic n med			ь	с	о	л	е	в	V	ѕќ¬≈—“»—№	V pf praet sg indic n -	
34040	12	,	,	PUNC									PUNC	,	PUNC	
34041	13	<	<	PUNC									PUNC	<	PUNC	
34042	14	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
34043	15	form	FORM	NONLEX									NONLEX	FORM	NONLEX	
34044	16	=	=	PUNC									PUNC	=	PUNC	
34045	17			_											_	
34046	18	чтооо	„“ќ	CONJ			о	о	о	т	ч		S	„“ќќќ	S m anim nonflex nonflex	30
34047	19			_											_	
34048	20	>	>	PUNC									PUNC	>	PUNC	31
34049	21	что	„“ќ	CONJ			о	т	ч				CONJ	„“ќ	CONJ	
34050	22	<	<	PUNC									PUNC	<	PUNC	48
34051	23	/	/	PUNC									PUNC	/	PUNC	
34052	24	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
34053	25	>...	>...	PUNC									PUNC	>...	PUNC	
